"var_name","ethnicity","value","t1_delib_nona","t2_delib_nona","estimate_d","p.value_d","t1_di_nona","t2_di_nona","estimate_di","p.value_di"
"ca_3","Arab",0.0941176470588235,"0.183333333333333","0.211111111111111",0.0277777777777778,0.65424785763481,"0","0.0588235294117647",0.0588235294117647,0.16348548685934
"ca_3","Kurd",0.691666666666667,"0.8","0.866666666666667",0.0666666666666667,0.28153692011074,"0.541666666666667","0.825",0.283333333333333,0.0200796536332234
"ca_3","Turkman",0.0880952380952381,"0.0909090909090909","0.190909090909091",0.1,0.183979868521366,"0.0916666666666667","0.0583333333333333",-0.0333333333333333,0.338800696196202
"cb_5","Arab",0.878571428571429,"0.85","0.8",-0.05,0.536816552763188,"0.988235294117647","0.911764705882353",-0.0764705882352941,0.264714845288171
"cb_5","Kurd",0.758461538461538,"0.76","0.86",0.1,0.117306803014238,"0.623076923076923","0.946153846153846",0.323076923076923,0.0149793906991913
"cb_5","Turkman",0.906818181818182,"0.86","0.85",-0.01,0.931414453518997,"0.98","0.83",-0.15,0.208838324098164
"central_trust","Arab",0.499090909090909,"0.538725490196078","0.476960784313726",-0.0617647058823529,0.213211655523001,"0.45","0.495175438596491",0.0451754385964912,0.35763147136269
"central_trust","Kurd",0.292724867724868,"0.3375","0.246666666666667",-0.0908333333333333,0.350275605915773,"0.183928571428571","0.189285714285714",0.00535714285714286,0.873385785094335
"central_trust","Turkman",0.445,"0.265","0.4075",0.1425,0.0609538077362836,"0.511538461538461","0.493589743589744",-0.0179487179487179,0.672289226064326
"ethnocentrism","Arab",NA,"0.145588235294118","0.193137254901961",0.0475490196078431,0.304354326193734,"0.155729166666667","0.184375",0.0286458333333333,0.60545856739964
"ethnocentrism","Kurd",NA,"0.31875","0.466666666666667",0.147916666666667,0.0587012352825974,"0.551851851851852","0.642592592592593",0.0907407407407407,0.0652847757910653
"ethnocentrism","Turkman",NA,"0.266666666666667","0.266666666666667",-1.11029078726094e-17,1,"0.282575757575758","0.51969696969697",0.237121212121212,0.00197423511526826
"fed","Arab",0.737202380952381,"0.703703703703704","0.65",-0.0537037037037037,0.197849190451857,"0.77280701754386","0.747368421052632",-0.0254385964912281,0.677303389186529
"fed","Kurd",0.401767676767677,"0.386666666666667","0.483333333333333",0.0966666666666667,0.0971863034322177,"0.45952380952381","0.279761904761905",-0.179761904761905,0.0237695683375574
"fed","Turkman",0.648148148148148,"0.581666666666667","0.713333333333333",0.131666666666667,0.0140812671968958,"0.634615384615385","0.605128205128205",-0.0294871794871795,0.721427830132894
"ind_kirkuk","Arab",0.641815476190476,"0.627777777777778","0.634166666666667",0.00638888888888888,0.907484439254866,"0.624824561403509","0.651052631578947",0.0262280701754386,0.545326939358838
"ind_kirkuk","Kurd",0.856893939393939,"0.8035","0.7905",-0.013,0.781812256163456,"0.918666666666667","0.890666666666667",-0.028,0.419838991035717
"ind_kirkuk","Turkman",0.665111111111111,"0.724583333333333","0.657083333333333",-0.0675,0.224205130513668,"0.683205128205128","0.785384615384615",0.102179487179487,0.03111598096158
"local_trust","Arab",0.443672839506173,"0.475","0.395588235294118",-0.0794117647058823,0.0437237996837618,"0.398611111111111","0.31712962962963",-0.0814814814814815,0.254146586466196
"local_trust","Kurd",0.614772727272727,"0.43","0.45",0.02,0.732036164592107,"0.515","0.625",0.11,0.0531553919546029
"local_trust","Turkman",0.194886363636364,"0.11","0.185",0.075,0.0498336735542962,"0.217307692307692","0.163461538461538",-0.0538461538461538,0.110481795410289
