ID Manually,Name,A1,A2,A3,A4,A5,A6,A7,A8,A9a-K,A9a-T,A9a-A,A9b-K,A9b-T,A9b-A,A9c-K,A9c-T,A9c-A,B1,B2-1,B2-2,B2-3,B2-4,B2-5,B2-6,B2-7,B2-8,B2-9,B3,B4a,B4b,Ca-1,Ca-2,Ca-3,Cb-1,Cb-2,Cb-3,Cb-4,Cb-5,Cb-6,Cb-7,Cb-8,D1,D2-1,D2-2,D2-3,D2-4,D2-5,D2-6,D2-7,D3-1,D3-2,D3-3,D3-4,D3-5,D3-6,D3-7,D3-8,D3-9,D3-10,D3-11,D3-12,D3-13,D3-14,D4a,D4b,D4c,D4d,D4e,D4f,D4g,D4h,D5-1,D5-2,D5-3,D5-4,D5-5,D5-6,D5-7,D5-8,D5-9,D5-10,D5-11,D5-12,D5-13,D5-14,D6a-1,D6a-2,D6a-3,D6a-4,D6a-5,D6b-1,D6b-2,D6b-3,D6b-4,D6b-5,D6b-6,D6b-7,E1,E2,E3,E4,E5,DateR,M Group,B3-12 Text,B4a-7 Text,B4b-7 Text
62,,21,Female,Baghdad,1,1,2,1,5,,,,,,,,,,3,,,,,,,,,,5,2,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,1,3,9,04/18/17,,,,
63,,24,Male,Karkuk,9,5,2,1,2,10,10,10,0,5,10,0,5,10,1,1,1,5,3,4,3,2,3,2,5,2,4,10,5,0,5,,10,10,5,5,10,10,1,0,0,10,99,0,10,99,0,10,0,10,99,99,99,10,10,99,99,99,99,10,2,2,2,2,2,2,2,2,1,2,3,4,5,,,,,,,,,,1,3,3,4,3,1,1,1,1,5,4,3,1,9,1,2,1,04/18/17,,,,
64,,19,Female,Karkuk,1,1,1,1,3,5,4,5,5,3,5,9,99,4,3,1,2,99,2,5,2,2,4,2,2,6,6,10,99,99,0,10,99,0,10,10,10,99,2,0,99,99,0,99,10,99,99,99,99,99,0,0,0,7,10,0,0,99,4,99,2,2,2,2,2,2,2,2,1,,,,5,,,,,,,,,,99,3,3,2,2,1,99,4,3,99,3,99,9,3,9,9,9,04/18/17,,,,
65,,25,Female,Baghdad,4,1,1,2,4,5,,,10,,,10,,,4,4,4,3,3,4,4,2,4,2,5,4,1,5,8,10,5,10,10,7,0,5,8,10,3,5,4,7,5,2,5,0,6,4,5,4,7,2,0,4,5,0,2,3,5,5,2,1,2,2,2,2,1,2,2,,,,4,1,5,,3,,,,,,2,4,2,1,99,3,2,4,5,3,4,3,9,1,3,1,2,04/18/17,,,,
66,,22,Female,Karkuk,1,1,3,4,3,1,10,2,0,10,1,0,10,2,1,1,1,1,2,4,4,3,3,1,2,4,7,10,0,0,0,10,10,10,10,10,10,10,4,10,10,10,10,8,7,10,0,0,0,0,0,0,0,1,1,0,0,0,3,2,2,2,2,2,1,1,1,1,5,,,4,3,1,2,,,,,,,,3,1,3,2,2,4,2,3,2,2,5,3,4,3,4,3,9,04/18/17,,,,???????? ????? ?????
67,,20,Male,Karkuk,9,1,3,1,5,10,10,10,10,10,10,10,10,10,3,3,3,3,4,3,3,3,3,3,7,6,6,0,0,0,10,0,0,0,1,0,10,9,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,8,0,0,0,0,0,2,2,1,1,1,1,1,1,,,,,,,,,,,,,,,2,2,3,2,2,3,,2,2,2,2,2,3,2,1,2,3,04/18/17,,,,
68,,26,Male,Karkuk,1,1,3,8,3,10,10,10,0,8,8,0,8,8,1,1,1,1,3,2,1,1,3,1,12,7,6,5,0,0,2,,10,7,10,5,10,10,4,8,8,7,7,2,99,99,0,0,2,2,0,2,1,5,8,0,2,1,0,3,9,9,9,2,9,2,2,9,4,1,,,3,,2,,5,,,,,,2,1,2,1,1,5,4,5,4,2,4,3,9,9,9,9,3,04/18/17,,?????????? ?????????,???? ??????? ?? ?? ??????,
69,,21,Female,Karkuk,1,1,1,5,3,7,5,5,8,5,5,5,5,5,3,3,99,99,3,3,99,4,99,4,12,7,7,0,10,8,5,10,10,10,5,10,10,10,3,10,10,7,9,99,8,4,8,6,7,5,8,5,6,8,5,7,8,7,8,5,2,1,1,2,2,2,2,2,,,,,1,2,,3,,4,5,,,,3,5,4,2,4,5,5,3,5,3,5,5,4,3,1,1,1,04/18/17,,????,???? ???????? ?????,???????
70,,23,Male,Haweja,3,1,2,1,4,,7,8,8,5,8,7,6,7,3,2,3,3,3,2,2,4,5,3,5,6,4,10,5,0,8,6,5,10,10,3,10,10,2,3,4,8,3,3,4,8,5,4,5,5,3,4,5,9,8,5,3,4,2,1,1,2,1,2,1,1,2,1,,,,,1,4,2,,3,,,,5,,3,5,3,3,4,3,4,4,4,3,4,3,9,1,1,3,2,04/18/17,,,,
71,,24,Male,Karkuk,1,1,2,1,3,10,4,8,8,3,7,8,5,8,3,4,4,3,4,1,1,2,3,1,12,4,3,0,0,0,0,5,5,5,10,10,10,5,1,0,0,5,7,0,0,8,8,5,5,0,5,0,5,8,5,0,0,0,5,0,9,1,9,2,2,1,1,1,1,2,3,4,5,,,,,,,,,,2,3,2,1,2,1,1,1,2,1,1,3,1,1,3,1,1,04/18/17,,???? ???? ???? ???? ????? ???? ??? ?????,,
